image,true_label,predicted_label,probability,latency_ms
data/processed/Cat/0.jpg,Cat,Cat,0.121,54.92
data/processed/Cat/1.jpg,Cat,Cat,0.0106,53.05
data/processed/Cat/10.jpg,Cat,Cat,0.0751,52.86
data/processed/Cat/100.jpg,Cat,Cat,0.0972,54.67
data/processed/Cat/1000.jpg,Cat,Cat,0.2019,49.94
data/processed/Cat/10000.jpg,Cat,Cat,0.0344,53.74
data/processed/Cat/10001.jpg,Cat,Cat,0.1802,52.17
data/processed/Cat/10002.jpg,Cat,Cat,0.0355,53.13
data/processed/Cat/10003.jpg,Cat,Cat,0.1684,52.29
data/processed/Cat/10004.jpg,Cat,Cat,0.0376,53.47
data/processed/Cat/10005.jpg,Cat,Cat,0.1236,53.86
data/processed/Cat/10006.jpg,Cat,Cat,0.0253,57.05
data/processed/Cat/10007.jpg,Cat,Cat,0.0964,52.88
data/processed/Cat/10008.jpg,Cat,Cat,0.0503,53.31
data/processed/Cat/10009.jpg,Cat,Cat,0.0828,54.11
data/processed/Cat/1001.jpg,Cat,Cat,0.4274,52.75
data/processed/Cat/10010.jpg,Cat,Cat,0.1351,51.81
data/processed/Cat/10011.jpg,Cat,Cat,0.3828,51.32
data/processed/Cat/10012.jpg,Cat,Cat,0.0165,50.46
data/processed/Cat/10013.jpg,Cat,Dog,0.9557,52.07
data/processed/Dog/0.jpg,Dog,Dog,0.7778,54.01
data/processed/Dog/1.jpg,Dog,Dog,0.9607,52.29
data/processed/Dog/10.jpg,Dog,Dog,0.9639,53.3
data/processed/Dog/100.jpg,Dog,Dog,0.8908,53.08
data/processed/Dog/1000.jpg,Dog,Dog,0.7887,51.6
data/processed/Dog/10000.jpg,Dog,Dog,0.9404,51.45
data/processed/Dog/10001.jpg,Dog,Dog,0.9367,50.01
data/processed/Dog/10002.jpg,Dog,Dog,0.7754,53.02
data/processed/Dog/10003.jpg,Dog,Dog,0.8906,51.64
data/processed/Dog/10004.jpg,Dog,Dog,0.9966,52.5
data/processed/Dog/10005.jpg,Dog,Dog,0.8022,52.31
data/processed/Dog/10006.jpg,Dog,Dog,0.9731,53.24
data/processed/Dog/10007.jpg,Dog,Cat,0.3531,59.8
data/processed/Dog/10008.jpg,Dog,Dog,0.9594,53.04
data/processed/Dog/10009.jpg,Dog,Cat,0.3917,52.35
data/processed/Dog/1001.jpg,Dog,Dog,0.8917,53.47
data/processed/Dog/10010.jpg,Dog,Dog,0.9753,50.51
data/processed/Dog/10011.jpg,Dog,Dog,0.9165,53.52
data/processed/Dog/10012.jpg,Dog,Dog,0.9164,50.52
data/processed/Dog/10013.jpg,Dog,Dog,0.9426,53.98
